Claim Index,Actual Fraud,Predicted Fraud,Fraud Probability,Fraud Risk Score,Risk Category,Claim Amount,Investigation Priority Score,Investigation Priority Tier,Recommended Action,Actual Fraud Status,Predicted Fraud Status,Risk Rank
90,0,0,0.3511,35.11,Medium Risk,66950,22.69,Medium Priority,Additional Verification,Legitimate,Not Flagged,79
139,0,0,0.3158,31.58,Medium Risk,73560,22.42,Medium Priority,Additional Verification,Legitimate,Not Flagged,80
402,1,1,0.5146,51.46,High Risk,44880,22.27,Medium Priority,Manual Review,Fraud,Flagged,81
138,0,0,0.2983,29.83,Medium Risk,76120,21.92,Medium Priority,Additional Verification,Legitimate,Not Flagged,82
100,0,0,0.2845,28.45,Medium Risk,79300,21.78,Medium Priority,Additional Verification,Legitimate,Not Flagged,83
523,0,0,0.3808,38.08,Medium Risk,58960,21.66,Medium Priority,Additional Verification,Legitimate,Not Flagged,84
267,0,0,0.2862,28.62,Medium Risk,78300,21.63,Medium Priority,Additional Verification,Legitimate,Not Flagged,85
50,0,0,0.2732,27.32,Medium Risk,81800,21.57,Medium Priority,Additional Verification,Legitimate,Not Flagged,86
350,0,0,0.3434,34.34,Medium Risk,64900,21.51,Medium Priority,Additional Verification,Legitimate,Not Flagged,87
130,0,0,0.259,25.9,Medium Risk,84720,21.18,Medium Priority,Additional Verification,Legitimate,Not Flagged,88
997,0,0,0.3241,32.41,Medium Risk,67500,21.11,Medium Priority,Additional Verification,Legitimate,Not Flagged,89
279,0,0,0.3068,30.68,Medium Risk,70900,21.0,Medium Priority,Additional Verification,Legitimate,Not Flagged,90
944,0,0,0.3054,30.54,Medium Risk,70830,20.88,Medium Priority,Additional Verification,Legitimate,Not Flagged,91
615,0,0,0.2766,27.66,Medium Risk,77770,20.77,Medium Priority,Additional Verification,Legitimate,Not Flagged,92
134,0,0,0.2752,27.52,Medium Risk,78120,20.75,Medium Priority,Additional Verification,Legitimate,Not Flagged,93
120,0,0,0.3062,30.62,Medium Risk,69300,20.48,Medium Priority,Additional Verification,Legitimate,Not Flagged,94
819,0,0,0.3409,34.09,Medium Risk,61490,20.23,Medium Priority,Additional Verification,Legitimate,Not Flagged,95
651,0,0,0.2696,26.96,Medium Risk,77700,20.22,Medium Priority,Additional Verification,Legitimate,Not Flagged,96
904,0,0,0.2743,27.43,Medium Risk,75690,20.04,Medium Priority,Additional Verification,Legitimate,Not Flagged,97
694,0,0,0.3593,35.93,Medium Risk,57000,19.76,Medium Priority,Additional Verification,Legitimate,Not Flagged,98
993,0,0,0.3397,33.97,Medium Risk,60200,19.73,Medium Priority,Additional Verification,Legitimate,Not Flagged,99
704,1,0,0.4873,48.73,Medium Risk,41580,19.54,Medium Priority,Additional Verification,Fraud,Not Flagged,100
499,0,0,0.2737,27.37,Medium Risk,73370,19.38,Medium Priority,Additional Verification,Legitimate,Not Flagged,101
772,0,0,0.3131,31.31,Medium Risk,63300,19.13,Medium Priority,Additional Verification,Legitimate,Not Flagged,102
232,0,0,0.2851,28.51,Medium Risk,69100,19.01,Medium Priority,Additional Verification,Legitimate,Not Flagged,103
886,0,0,0.3174,31.74,Medium Risk,61740,18.91,Medium Priority,Additional Verification,Legitimate,Not Flagged,104
861,0,0,0.2351,23.51,Low Risk,82400,18.7,Medium Priority,Auto Process,Legitimate,Not Flagged,105
334,0,0,0.3597,35.97,Medium Risk,53440,18.54,Medium Priority,Additional Verification,Legitimate,Not Flagged,106
97,1,0,0.2929,29.29,Medium Risk,64890,18.34,Medium Priority,Additional Verification,Fraud,Not Flagged,107
399,0,0,0.2467,24.67,Low Risk,76920,18.32,Medium Priority,Auto Process,Legitimate,Not Flagged,108
986,1,0,0.2456,24.56,Low Risk,77000,18.26,Medium Priority,Auto Process,Fraud,Not Flagged,109
660,0,0,0.3011,30.11,Medium Risk,62800,18.25,Medium Priority,Additional Verification,Legitimate,Not Flagged,110
429,0,0,0.3384,33.84,Medium Risk,55700,18.19,Medium Priority,Additional Verification,Legitimate,Not Flagged,111
337,0,0,0.2674,26.74,Medium Risk,70290,18.14,Medium Priority,Additional Verification,Legitimate,Not Flagged,112
534,0,0,0.2983,29.83,Medium Risk,62590,18.02,Medium Priority,Additional Verification,Legitimate,Not Flagged,113
305,1,1,0.5073,50.73,High Risk,36720,17.96,Medium Priority,Manual Review,Fraud,Flagged,114
335,0,0,0.2813,28.13,Medium Risk,65250,17.71,Medium Priority,Additional Verification,Legitimate,Not Flagged,115
658,0,0,0.3,30.0,Medium Risk,60210,17.43,Medium Priority,Additional Verification,Legitimate,Not Flagged,116
264,0,0,0.3117,31.17,Medium Risk,57640,17.34,Medium Priority,Additional Verification,Legitimate,Not Flagged,117
468,0,0,0.3093,30.93,Medium Risk,57600,17.19,Medium Priority,Additional Verification,Legitimate,Not Flagged,118
794,0,0,0.3166,31.66,Medium Risk,56160,17.16,Medium Priority,Additional Verification,Legitimate,Not Flagged,119
192,0,0,0.3192,31.92,Medium Risk,55500,17.09,Medium Priority,Additional Verification,Legitimate,Not Flagged,120
87,0,0,0.2742,27.42,Medium Risk,64240,17.0,Medium Priority,Additional Verification,Legitimate,Not Flagged,121
381,0,0,0.2782,27.82,Medium Risk,62920,16.89,Medium Priority,Additional Verification,Legitimate,Not Flagged,122
764,0,0,0.2477,24.77,Low Risk,70290,16.8,Medium Priority,Auto Process,Legitimate,Not Flagged,123
228,0,0,0.2922,29.22,Medium Risk,59040,16.65,Medium Priority,Additional Verification,Legitimate,Not Flagged,124
988,0,0,0.2813,28.13,Medium Risk,60700,16.48,Medium Priority,Additional Verification,Legitimate,Not Flagged,125
512,0,0,0.2874,28.74,Medium Risk,58800,16.31,Medium Priority,Additional Verification,Legitimate,Not Flagged,126
461,0,0,0.2812,28.12,Medium Risk,59520,16.15,Medium Priority,Additional Verification,Legitimate,Not Flagged,127
862,0,0,0.3044,30.44,Medium Risk,54240,15.93,Medium Priority,Additional Verification,Legitimate,Not Flagged,128
852,0,0,0.2912,29.12,Medium Risk,56320,15.82,Medium Priority,Additional Verification,Legitimate,Not Flagged,129
171,1,0,0.3041,30.41,Medium Risk,53600,15.73,Medium Priority,Additional Verification,Fraud,Not Flagged,130
219,0,0,0.2669,26.69,Medium Risk,60190,15.5,Medium Priority,Additional Verification,Legitimate,Not Flagged,131
431,0,0,0.2904,29.04,Medium Risk,54340,15.22,Medium Priority,Additional Verification,Legitimate,Not Flagged,132
42,0,0,0.3055,30.55,Medium Risk,51660,15.22,Medium Priority,Additional Verification,Legitimate,Not Flagged,132
632,0,0,0.2909,29.09,Medium Risk,53800,15.1,Medium Priority,Additional Verification,Legitimate,Not Flagged,133
368,1,0,0.3176,31.76,Medium Risk,48950,15.0,Medium Priority,Additional Verification,Fraud,Not Flagged,134
450,0,0,0.2769,27.69,Medium Risk,56070,14.98,Medium Priority,Additional Verification,Legitimate,Not Flagged,135
294,1,0,0.2822,28.22,Medium Risk,53400,14.54,Medium Priority,Additional Verification,Fraud,Not Flagged,136
737,0,0,0.2847,28.47,Medium Risk,52800,14.5,Medium Priority,Additional Verification,Legitimate,Not Flagged,137
756,0,0,0.281,28.1,Medium Risk,53400,14.48,Medium Priority,Additional Verification,Legitimate,Not Flagged,138
979,0,0,0.2726,27.26,Medium Risk,54560,14.35,Medium Priority,Additional Verification,Legitimate,Not Flagged,139
154,1,0,0.2703,27.03,Medium Risk,54240,14.14,Medium Priority,Additional Verification,Fraud,Not Flagged,140
859,0,0,0.2994,29.94,Medium Risk,48950,14.14,Medium Priority,Additional Verification,Legitimate,Not Flagged,140
751,0,0,0.2212,22.12,Low Risk,63900,13.64,Medium Priority,Auto Process,Legitimate,Not Flagged,141
506,0,0,0.2642,26.42,Medium Risk,53370,13.6,Medium Priority,Additional Verification,Legitimate,Not Flagged,142
610,0,0,0.2534,25.34,Medium Risk,54890,13.42,Medium Priority,Additional Verification,Legitimate,Not Flagged,143
222,0,0,0.2825,28.25,Medium Risk,49060,13.37,Medium Priority,Additional Verification,Legitimate,Not Flagged,144
757,0,0,0.264,26.4,Medium Risk,52030,13.25,Medium Priority,Additional Verification,Legitimate,Not Flagged,145
854,0,0,0.2354,23.54,Low Risk,57900,13.15,Medium Priority,Auto Process,Legitimate,Not Flagged,146
20,0,0,0.285,28.5,Medium Risk,47160,12.96,Medium Priority,Additional Verification,Legitimate,Not Flagged,147
336,0,0,0.2999,29.99,Medium Risk,44280,12.81,Medium Priority,Additional Verification,Legitimate,Not Flagged,148
75,0,0,0.2569,25.69,Medium Risk,51210,12.69,Medium Priority,Additional Verification,Legitimate,Not Flagged,149
673,0,0,0.3861,38.61,Medium Risk,33480,12.46,Medium Priority,Additional Verification,Legitimate,Not Flagged,150
618,0,0,0.2851,28.51,Medium Risk,45270,12.45,Medium Priority,Additional Verification,Legitimate,Not Flagged,151
172,0,0,0.2861,28.61,Medium Risk,44910,12.39,Medium Priority,Additional Verification,Legitimate,Not Flagged,152
115,1,0,0.2663,26.63,Medium Risk,47700,12.25,Medium Priority,Additional Verification,Fraud,Not Flagged,153
377,0,0,0.2759,27.59,Medium Risk,45500,12.11,Medium Priority,Additional Verification,Legitimate,Not Flagged,154
280,0,0,0.2618,26.18,Medium Risk,46560,11.76,Medium Priority,Additional Verification,Legitimate,Not Flagged,155
933,0,0,0.2467,24.67,Low Risk,48780,11.61,Medium Priority,Auto Process,Legitimate,Not Flagged,156
821,0,0,0.2517,25.17,Medium Risk,45100,10.95,Medium Priority,Additional Verification,Legitimate,Not Flagged,157
408,0,0,0.2591,25.91,Medium Risk,43230,10.8,Medium Priority,Additional Verification,Legitimate,Not Flagged,158
563,0,0,0.2522,25.22,Medium Risk,44240,10.76,Medium Priority,Additional Verification,Legitimate,Not Flagged,159
759,0,0,0.2289,22.89,Low Risk,48360,10.68,Medium Priority,Auto Process,Legitimate,Not Flagged,160
760,0,0,0.2112,21.12,Low Risk,52290,10.65,Medium Priority,Auto Process,Legitimate,Not Flagged,161
617,0,0,0.2518,25.18,Medium Risk,40600,9.86,Low Priority,Additional Verification,Legitimate,Not Flagged,162
124,0,0,0.2313,23.13,Low Risk,42000,9.37,Low Priority,Auto Process,Legitimate,Not Flagged,163
639,0,0,0.2311,23.11,Low Risk,41520,9.25,Low Priority,Auto Process,Legitimate,Not Flagged,164
771,0,0,0.2324,23.24,Low Risk,37800,8.47,Low Priority,Auto Process,Legitimate,Not Flagged,165
212,0,0,0.226,22.6,Low Risk,34320,7.48,Low Priority,Auto Process,Legitimate,Not Flagged,166
679,0,0,0.1925,19.25,Low Risk,32480,6.02,Low Priority,Auto Process,Legitimate,Not Flagged,167
221,0,0,0.1981,19.81,Low Risk,28100,5.36,Low Priority,Auto Process,Legitimate,Not Flagged,168
32,0,0,0.1831,18.31,Low Risk,29790,5.25,Low Priority,Auto Process,Legitimate,Not Flagged,169
8,0,0,0.163,16.3,Low Risk,27700,4.35,Low Priority,Auto Process,Legitimate,Not Flagged,170
552,1,0,0.3908,39.08,Medium Risk,4620,1.71,Low Priority,Additional Verification,Fraud,Not Flagged,171
48,0,0,0.207,20.7,Low Risk,7290,1.44,Low Priority,Auto Process,Legitimate,Not Flagged,172
82,0,0,0.1909,19.09,Low Risk,7500,1.37,Low Priority,Auto Process,Legitimate,Not Flagged,173
142,0,0,0.1402,14.02,Low Risk,8190,1.1,Low Priority,Auto Process,Legitimate,Not Flagged,174
750,0,0,0.1382,13.82,Low Risk,8030,1.06,Low Priority,Auto Process,Legitimate,Not Flagged,175
179,0,0,0.2244,22.44,Low Risk,4950,1.05,Low Priority,Auto Process,Legitimate,Not Flagged,176
908,0,0,0.2004,20.04,Low Risk,5500,1.05,Low Priority,Auto Process,Legitimate,Not Flagged,176
525,0,0,0.1524,15.24,Low Risk,6890,1.0,Low Priority,Auto Process,Legitimate,Not Flagged,177
51,0,0,0.1442,14.42,Low Risk,7260,1.0,Low Priority,Auto Process,Legitimate,Not Flagged,177
637,0,0,0.1411,14.11,Low Risk,7370,0.99,Low Priority,Auto Process,Legitimate,Not Flagged,178
585,0,0,0.1965,19.65,Low Risk,5100,0.95,Low Priority,Auto Process,Legitimate,Not Flagged,179
300,0,0,0.1236,12.36,Low Risk,7680,0.91,Low Priority,Auto Process,Legitimate,Not Flagged,180
187,0,0,0.1722,17.22,Low Risk,5500,0.9,Low Priority,Auto Process,Legitimate,Not Flagged,181
298,0,0,0.1509,15.09,Low Risk,5940,0.85,Low Priority,Auto Process,Legitimate,Not Flagged,182
4,0,0,0.1359,13.59,Low Risk,6500,0.84,Low Priority,Auto Process,Legitimate,Not Flagged,183
556,0,0,0.1702,17.02,Low Risk,4950,0.8,Low Priority,Auto Process,Legitimate,Not Flagged,184
675,0,0,0.1734,17.34,Low Risk,4200,0.69,Low Priority,Auto Process,Legitimate,Not Flagged,185
804,0,0,0.145,14.5,Low Risk,4950,0.68,Low Priority,Auto Process,Legitimate,Not Flagged,186
287,0,0,0.1061,10.61,Low Risk,6400,0.65,Low Priority,Auto Process,Legitimate,Not Flagged,187
614,0,0,0.1382,13.82,Low Risk,4900,0.64,Low Priority,Auto Process,Legitimate,Not Flagged,188
925,0,0,0.1659,16.59,Low Risk,3870,0.6,Low Priority,Auto Process,Legitimate,Not Flagged,189
698,0,0,0.1447,14.47,Low Risk,4320,0.59,Low Priority,Auto Process,Legitimate,Not Flagged,190
260,0,0,0.1144,11.44,Low Risk,3850,0.41,Low Priority,Auto Process,Legitimate,Not Flagged,191
681,0,0,0.1576,15.76,Low Risk,2640,0.39,Low Priority,Auto Process,Legitimate,Not Flagged,192
527,0,0,0.0969,9.69,Low Risk,2700,0.24,Low Priority,Auto Process,Legitimate,Not Flagged,193
775,0,0,0.1936,19.36,Low Risk,100,0.0,Low Priority,Auto Process,Legitimate,Not Flagged,194
